章节号,章节名,事件ID,事件名称,事件类型,事件年代,距司马谈,距司马迁,史源类型,可信度,推理依据
055,留侯世家,055-021,留侯退隐辞世,家族事件,-195,85,95,家族传承,A,汉初功臣家族，可能有家族口述
055,留侯世家,055-022,张良卒谥文成侯,家族事件,-185,75,85,家族传承,A,汉初功臣家族，可能有家族口述
055,留侯世家,055-023,济北见黄石,文化活动,-205,95,105,家族传承,C,距司马谈95年，可能有2-3代传承
055,留侯世家,055-024,留侯不疑国除,家族事件,-175,65,75,家族传承,A,汉初功臣家族，可能有家族口述
056,陈丞相世家,056-001,陈平少时好读书,文化活动,-230,120,130,文献传承,C,距司马谈120年，依赖文献
056,陈丞相世家,056-002,陈平娶张氏女,家族事件,-220,110,120,家族传承,A,汉初功臣家族，可能有家族口述
056,陈丞相世家,056-003,陈平分肉言志,政治活动,-215,105,115,军中传闻,C,军中流传
056,陈丞相世家,056-004,陈平事魏王不用,政治活动,-209,99,109,军中传闻,C,军中流传
056,陈丞相世家,056-005,陈平从项羽击秦,政治活动,-207,97,107,军中传闻,C,军中流传
056,陈丞相世家,056-006,陈平惧诛亡楚归汉,政治活动,-205,95,105,军中传闻,C,军中流传
056,陈丞相世家,056-007,陈平归汉受拜都尉,继位,-205,95,105,家族传承,C,距司马谈95年，可能有2-3代传承
056,陈丞相世家,056-008,陈平遭谗诸将,政治活动,-205,95,105,军中传闻,C,军中流传
056,陈丞相世家,056-009,陈平反间破楚,战争,-204,94,104,军中传闻,C,军中流传
056,陈丞相世家,056-010,陈平夜出荥阳,战争,-204,94,104,军中传闻,C,军中流传
056,陈丞相世家,056-011,陈平蹑足立齐王,政治活动,-203,93,103,军中传闻,C,军中流传
056,陈丞相世家,056-012,陈平献计擒韩信,政治活动,-201,91,101,军中传闻,C,军中流传
056,陈丞相世家,056-013,封陈平为户牖侯,继位,-201,91,101,家族传承,C,距司马谈91年，可能有2-3代传承
056,陈丞相世家,056-014,陈平解平城之围,战争,-200,90,100,军中传闻,C,军中流传
056,陈丞相世家,056-015,改封曲逆侯,继位,-200,90,100,家族传承,C,距司马谈90年，可能有2-3代传承
056,陈丞相世家,056-016,陈平六出奇计,政治活动,-196,86,96,军中传闻,C,军中流传
056,陈丞相世家,056-017,陈平代樊哙将,政治活动,-195,85,95,军中传闻,C,军中流传
056,陈丞相世家,056-018,陈平闻高帝崩先归,政治活动,-195,85,95,军中传闻,C,军中流传
056,陈丞相世家,056-019,陈平为郎中令,继位,-195,85,95,家族传承,C,距司马谈85年，可能有2-3代传承
056,陈丞相世家,056-020,陈平为左丞相,继位,-189,79,89,家族传承,C,距司马谈79年，可能有2-3代传承
056,陈丞相世家,056-021,王陵免丞相,政治活动,-187,77,87,军中传闻,C,军中流传
056,陈丞相世家,056-022,陈平伪听立诸吕,政治活动,-187,77,87,军中传闻,C,军中流传
056,陈丞相世家,056-023,陈平诛吕立文帝,政治整顿,-180,70,80,家族传承,C,距司马谈70年，可能有2-3代传承
056,陈丞相世家,056-024,陈平让右丞相于勃,政治活动,-179,69,79,军中传闻,C,军中流传
056,陈丞相世家,056-025,陈平论宰相职责,政治活动,-179,69,79,军中传闻,C,军中流传
056,陈丞相世家,056-026,陈平专为丞相,继位,-179,69,79,家族传承,C,距司马谈69年，可能有2-3代传承
056,陈丞相世家,056-027,陈平卒谥献侯,家族事件,-178,68,78,家族传承,A,汉初功臣家族，可能有家族口述
056,陈丞相世家,056-028,陈平后嗣国除,家族事件,-155,45,55,家族传承,A,汉初功臣家族，可能有家族口述
057,绛侯周勃世家,057-001,周勃从沛公灭秦,战争,-209,99,109,军中传闻,C,军中流传
057,绛侯周勃世家,057-002,周勃定三秦击楚,战争,-206,96,106,军中传闻,C,军中流传
057,绛侯周勃世家,057-003,周勃封绛侯,继位,-201,91,101,家族传承,C,距司马谈91年，可能有2-3代传承
057,绛侯周勃世家,057-004,周勃击韩信于代,战争,-200,90,100,军中传闻,C,军中流传
057,绛侯周勃世家,057-005,周勃击陈豨定代,战争,-196,86,96,军中传闻,C,军中流传
057,绛侯周勃世家,057-006,周勃代樊哙定燕,战争,-195,85,95,军中传闻,C,军中流传
057,绛侯周勃世家,057-007,高祖以勃可属大事,政治活动,-195,85,95,军中传闻,C,军中流传
057,绛侯周勃世家,057-008,周勃诛吕安刘,政治整顿,-180,70,80,家族传承,C,距司马谈70年，可能有2-3代传承
057,绛侯周勃世家,057-009,周勃为右丞相,继位,-179,69,79,家族传承,C,距司马谈69年，可能有2-3代传承
057,绛侯周勃世家,057-010,周勃谢归相印,政治活动,-177,67,77,军中传闻,C,军中流传
057,绛侯周勃世家,057-011,周勃遭诬下狱,政治整顿,-176,66,76,家族传承,C,距司马谈66年，可能有2-3代传承
057,绛侯周勃世家,057-012,周勃卒谥武侯,家族事件,-169,59,69,家族传承,A,汉初功臣家族，可能有家族口述
057,绛侯周勃世家,057-013,周亚夫许负相面,家族事件,-166,56,66,家族传承,A,汉初功臣家族，可能有家族口述
057,绛侯周勃世家,057-014,周亚夫受封条侯,封爵,-163,53,63,家族传承,C,距司马谈53年，可能有2-3代传承
057,绛侯周勃世家,057-015,细柳屯军,战争,-158,48,58,亲历口述,B,距司马谈48年，可能有亲历者口述
057,绛侯周勃世家,057-016,文帝遗诏用亚夫,政治活动,-157,47,57,亲历口述,B,距司马谈47年，可能有亲历者口述
057,绛侯周勃世家,057-017,周亚夫平吴楚,战争,-154,44,54,亲历口述,B,距司马谈44年，可能有亲历者口述
057,绛侯周勃世家,057-018,周亚夫为丞相,继位,-150,40,50,亲历口述,C,距司马谈40年，可能有口述
057,绛侯周勃世家,057-019,亚夫争废太子不得,政治活动,-150,40,50,亲历口述,B,距司马谈40年，可能有亲历者口述
057,绛侯周勃世家,057-020,亚夫谏封匈奴降王,政治活动,-147,37,47,亲历口述,B,距司马谈37年，可能有亲历者口述
057,绛侯周勃世家,057-021,景帝赐食无箸试探,政治活动,-144,34,44,亲历口述,B,距司马谈34年，可能有亲历者口述
057,绛侯周勃世家,057-022,周亚夫狱死不食,家族事件,-143,33,43,家族传承,A,汉初功臣家族，可能有家族口述
057,绛侯周勃世家,057-023,绛侯后嗣续封,家族事件,-142,32,42,家族传承,A,汉初功臣家族，可能有家族口述
058,梁孝王世家,058-001,刘武初封代王,继位,-178,68,78,家族传承,C,距司马谈68年，可能有2-3代传承
058,梁孝王世家,058-002,刘武徙为淮阳王,继位,-176,66,76,家族传承,C,距司马谈66年，可能有2-3代传承
058,梁孝王世家,058-003,刘武徙为梁王,继位,-168,58,68,家族传承,C,距司马谈58年，可能有2-3代传承
058,梁孝王世家,058-004,梁王比年入朝,政治活动,-154,44,54,亲历口述,B,距司马谈44年，可能有亲历者口述
058,梁孝王世家,058-005,景帝言千秋传王,政治活动,-154,44,54,亲历口述,B,距司马谈44年，可能有亲历者口述
058,梁孝王世家,058-006,梁王抗击吴楚,战争,-154,44,54,亲历口述,B,距司马谈44年，可能有亲历者口述
058,梁孝王世家,058-007,梁孝王恩宠至极,政治活动,-153,43,53,亲历口述,B,距司马谈43年，可能有亲历者口述
058,梁孝王世家,058-008,梁王筑东苑广宫室,建设,-153,43,53,亲历口述,C,距司马谈43年，可能有口述
058,梁孝王世家,058-009,梁王招延豪杰,文化活动,-153,43,53,亲历口述,C,距司马谈43年，可能有口述
058,梁孝王世家,058-010,窦太后欲立梁王为嗣,政治活动,-150,40,50,亲历口述,B,距司马谈40年，可能有亲历者口述
058,梁孝王世家,058-011,景帝立胶东王为太子,继位,-150,40,50,亲历口述,C,距司马谈40年，可能有口述
058,梁孝王世家,058-012,梁王刺杀袁盎,政治整顿,-148,38,48,亲历口述,C,距司马谈38年，可能有口述
058,梁孝王世家,058-013,汉覆按梁逼出刺客,政治整顿,-148,38,48,亲历口述,C,距司马谈38年，可能有口述
058,梁孝王世家,058-014,梁王伏斧质谢罪,政治活动,-147,37,47,亲历口述,B,距司马谈37年，可能有亲历者口述
058,梁孝王世家,058-015,景帝益疏梁王,政治活动,-147,37,47,亲历口述,B,距司马谈37年，可能有亲历者口述
058,梁孝王世家,058-016,梁孝王薨,家族事件,-144,34,44,家族传承,A,汉初功臣家族，可能有家族口述
058,梁孝王世家,058-017,窦太后哀梁王分五国,政治活动,-144,34,44,亲历口述,B,距司马谈34年，可能有亲历者口述
058,梁孝王世家,058-018,分封梁五国,继位,-144,34,44,亲历口述,C,距司马谈34年，可能有口述
058,梁孝王世家,058-019,孝王遗金四十万斤,经济活动,-144,34,44,亲历口述,C,距司马谈34年，可能有口述
058,梁孝王世家,058-020,梁平王罍樽之争,家族事件,-124,14,24,家族传承,A,汉初功臣家族，可能有家族口述
058,梁孝王世家,058-021,梁平王削地,政治整顿,-123,13,23,亲历口述,C,距司马谈13年，可能有口述
058,梁孝王世家,058-022,济川王射杀中尉,政治整顿,-138,28,38,亲历口述,C,距司马谈28年，可能有口述
058,梁孝王世家,058-023,济东王剽杀人,政治整顿,-116,6,16,亲历口述,C,距司马谈6年，可能有口述
058,梁孝王世家,058-024,山阳哀王卒无子,家族事件,-136,26,36,家族传承,A,汉初功臣家族，可能有家族口述
058,梁孝王世家,058-025,济阴哀王卒无子,家族事件,-143,33,43,家族传承,A,汉初功臣家族，可能有家族口述
059,五宗世家,059-001,景帝十三子五母分宗,家族事件,-155,45,55,家族传承,A,汉初功臣家族，可能有家族口述
059,五宗世家,059-002,河间献王好儒,文化活动,-155,45,55,亲历口述,C,距司马谈45年，可能有口述
059,五宗世家,059-003,临江哀王阏于卒,家族事件,-153,43,53,家族传承,A,汉初功臣家族，可能有家族口述
059,五宗世家,059-004,临江闵王荣废太子,政治活动,-150,40,50,亲历口述,B,距司马谈40年，可能有亲历者口述
059,五宗世家,059-005,临江王荣侵庙垣自杀,政治整顿,-148,38,48,亲历口述,C,距司马谈38年，可能有口述
059,五宗世家,059-006,鲁共王余好宫室,建设,-155,45,55,亲历口述,C,距司马谈45年，可能有口述
059,五宗世家,059-007,江都易王非击吴,战争,-154,44,54,亲历口述,B,距司马谈44年，可能有亲历者口述
059,五宗世家,059-008,江都王建自杀国除,家族事件,-121,11,21,家族传承,A,汉初功臣家族，可能有家族口述
059,五宗世家,059-009,胶西于王端贼戾,家族事件,-154,44,54,家族传承,A,汉初功臣家族，可能有家族口述
059,五宗世家,059-010,胶西王端无男国除,家族事件,-108,2,8,家族传承,A,汉初功臣家族，可能有家族口述
059,五宗世家,059-011,赵王彭祖巧佞,政治活动,-155,45,55,亲历口述,B,距司马谈45年，可能有亲历者口述
059,五宗世家,059-012,赵太子丹与姊奸废,家族事件,-100,10,0,家族传承,A,汉初功臣家族，可能有家族口述
059,五宗世家,059-013,中山靖王胜好酒色,家族事件,-154,44,54,家族传承,A,汉初功臣家族，可能有家族口述
059,五宗世家,059-014,长沙定王发因母微,家族事件,-155,45,55,家族传承,A,汉初功臣家族，可能有家族口述
059,五宗世家,059-015,广川惠王越之后事,家族事件,-148,38,48,家族传承,A,汉初功臣家族，可能有家族口述
059,五宗世家,059-016,胶东康王寄备淮南,政治活动,-148,38,48,亲历口述,B,距司马谈38年，可能有亲历者口述
059,五宗世家,059-017,封六安王庆,继位,-121,11,21,亲历口述,C,距司马谈11年，可能有口述
059,五宗世家,059-018,清河哀王乘卒无后,家族事件,-136,26,36,家族传承,A,汉初功臣家族，可能有家族口述
059,五宗世家,059-019,常山宪王舜骄怠,家族事件,-145,35,45,家族传承,A,汉初功臣家族，可能有家族口述
059,五宗世家,059-020,常山王勃废徙房陵,政治整顿,-113,3,13,亲历口述,C,距司马谈3年，可能有口述
059,五宗世家,059-021,封真定王平泗水王商,继位,-113,3,13,亲历口述,C,距司马谈3年，可能有口述
060,三王世家,060-001,霍去病上疏请封皇子,政治活动,-117,7,17,亲历口述,B,距司马谈7年，可能有亲历者口述
060,三王世家,060-002,丞相御史大夫议封王,政治活动,-117,7,17,亲历口述,B,距司马谈7年，可能有亲历者口述
060,三王世家,060-003,武帝谦让家以列侯,政治活动,-117,7,17,亲历口述,B,距司马谈7年，可能有亲历者口述
060,三王世家,060-004,群臣再请封王,政治活动,-117,7,17,亲历口述,B,距司马谈7年，可能有亲历者口述
060,三王世家,060-005,武帝再谦让,政治活动,-117,7,17,亲历口述,B,距司马谈7年，可能有亲历者口述
060,三王世家,060-006,群臣三请封王,政治活动,-117,7,17,亲历口述,B,距司马谈7年，可能有亲历者口述
060,三王世家,060-007,群臣四请终获准,政治活动,-117,7,17,亲历口述,B,距司马谈7年，可能有亲历者口述
060,三王世家,060-008,卜日定封,政治活动,-117,7,17,亲历口述,B,距司马谈7年，可能有亲历者口述
060,三王世家,060-009,封闳为齐王,继位,-117,7,17,亲历口述,C,距司马谈7年，可能有口述
060,三王世家,060-010,封旦为燕王,继位,-117,7,17,亲历口述,C,距司马谈7年，可能有口述
060,三王世家,060-011,封胥为广陵王,继位,-117,7,17,亲历口述,C,距司马谈7年，可能有口述
060,三王世家,060-012,齐王策书颁下,政治活动,-117,7,17,亲历口述,B,距司马谈7年，可能有亲历者口述
060,三王世家,060-013,燕王策书颁下,政治活动,-117,7,17,亲历口述,B,距司马谈7年，可能有亲历者口述
060,三王世家,060-014,广陵王策书颁下,政治活动,-117,7,17,亲历口述,B,距司马谈7年，可能有亲历者口述
060,三王世家,060-015,王夫人病问封地,家族事件,-117,7,17,家族传承,A,汉初功臣家族，可能有家族口述
060,三王世家,060-016,齐王闳早卒国除,家族事件,-113,3,13,家族传承,A,汉初功臣家族，可能有家族口述
060,三王世家,060-017,燕王旦请宿卫被斥,政治活动,-89,21,11,亲历口述,B,距司马谈21年，可能有亲历者口述
060,三王世家,060-018,燕王旦谋反自杀,政治整顿,-80,30,20,亲历口述,C,距司马谈30年，可能有口述
060,三王世家,060-019,广陵王胥作威福,政治活动,-67,43,33,亲历口述,B,距司马谈43年，可能有亲历者口述
060,三王世家,060-020,广陵王胥祝诅自杀,政治整顿,-54,56,46,亲历口述,C,距司马谈56年，可能有口述
060,三王世家,060-021,宣帝封燕广陵后嗣,继位,-73,37,27,亲历口述,C,距司马谈37年，可能有口述
061,伯夷列传,061-001,许由隐居箕山,政治活动,-2200,2090,2100,文献传承,C,距司马谈2090年，必依赖文献
061,伯夷列传,061-002,孤竹君欲立叔齐,家族事件,-1060,950,960,文献传承,C,距司马谈950年，必依赖文献
061,伯夷列传,061-003,伯夷叔齐让国出走,政治活动,-1060,950,960,文献传承,C,距司马谈950年，必依赖文献
061,伯夷列传,061-004,伯夷叔齐归西伯,政治活动,-1049,939,949,文献传承,C,距司马谈939年，必依赖文献
061,伯夷列传,061-005,叩马而谏武王伐纣,政治活动,-1046,936,946,文献传承,C,距司马谈936年，必依赖文献
061,伯夷列传,061-006,义不食周粟饿死首阳山,文化活动,-1045,935,945,文献传承,C,距司马谈935年，必依赖文献
061,伯夷列传,061-007,颜渊穷困早夭,家族事件,-481,371,381,文献传承,D,距司马谈371年，远古史料可信度低
062,管晏列传,062-001,管仲鲍叔早年交游,文化活动,-690,580,590,文献传承,C,距司马谈580年，必依赖文献
062,管晏列传,062-002,管仲事公子纠,政治活动,-686,576,586,文献传承,C,距司马谈576年，必依赖文献
062,管晏列传,062-003,桓公即位管仲被囚,政治活动,-685,575,585,文献传承,C,距司马谈575年，必依赖文献
062,管晏列传,062-004,鲍叔荐管仲,政治活动,-685,575,585,文献传承,C,距司马谈575年，必依赖文献
062,管晏列传,062-005,管仲相齐称霸,政治改革,-685,575,585,文献传承,C,距司马谈575年，必依赖文献
062,管晏列传,062-006,桓公伐楚责贡,战争,-656,546,556,文献传承,C,距司马谈546年，必依赖文献
062,管晏列传,062-007,令燕修召公之政,政治活动,-663,553,563,文献传承,C,距司马谈553年，必依赖文献
062,管晏列传,062-008,柯之会信曹沫,政治活动,-681,571,581,文献传承,C,距司马谈571年，必依赖文献
062,管晏列传,062-009,管仲卒齐遵其政,政治活动,-645,535,545,文献传承,C,距司马谈535年，必依赖文献
062,管晏列传,062-010,晏子事三君显名,政治活动,-556,446,456,文献传承,C,距司马谈446年，必依赖文献
062,管晏列传,062-011,晏子赎越石父,文化活动,-530,420,430,文献传承,C,距司马谈420年，必依赖文献
062,管晏列传,062-012,御者妻谏夫自省,文化活动,-530,420,430,文献传承,C,距司马谈420年，必依赖文献
062,管晏列传,062-013,晏子伏庄公尸哭,政治活动,-548,438,448,文献传承,C,距司马谈438年，必依赖文献
063,老子韩非列传,063-001,老子为周守藏室史,政治活动,-550,440,450,文献传承,C,距司马谈440年，必依赖文献
063,老子韩非列传,063-002,孔子适周问礼于老子,文化活动,-518,408,418,文献传承,C,距司马谈408年，必依赖文献
063,老子韩非列传,063-003,老子著书西去,文化活动,-485,375,385,文献传承,B,先秦人物文化活动，依据学派传承
063,老子韩非列传,063-004,老子后世仕宦,家族事件,-170,60,70,家族传承,C,距司马谈60年，可能有2-3代传承
063,老子韩非列传,063-005,庄子拒楚威王聘,政治活动,-334,224,234,文献传承,C,先秦史事，依据《战国策》等文献
063,老子韩非列传,063-006,申不害相韩,政治改革,-355,245,255,文献传承,D,距司马谈245年，远古史料可信度低
063,老子韩非列传,063-007,韩非师事荀卿,文化活动,-255,145,155,文献传承,B,先秦人物文化活动，依据学派传承
063,老子韩非列传,063-008,韩非著书立说,文化活动,-250,140,150,文献传承,B,先秦人物文化活动，依据学派传承
063,老子韩非列传,063-009,秦王慕韩非之书,政治活动,-234,124,134,文献传承,C,先秦史事，依据《战国策》等文献
063,老子韩非列传,063-010,韩非使秦被害,政治活动,-233,123,133,文献传承,C,先秦史事，依据《战国策》等文献
064,司马穰苴列传,064-001,晋燕侵齐齐师败绩,战争,-535,425,435,文献传承,C,距司马谈425年，必依赖文献
064,司马穰苴列传,064-002,晏婴荐穰苴为将,政治活动,-535,425,435,文献传承,C,距司马谈425年，必依赖文献
064,司马穰苴列传,064-003,穰苴斩庄贾立军威,政治整顿,-535,425,435,文献传承,C,距司马谈425年，必依赖文献
064,司马穰苴列传,064-004,穰苴拒君令斩使者仆,政治整顿,-534,424,434,文献传承,C,距司马谈424年，必依赖文献
064,司马穰苴列传,064-005,晋燕退兵穰苴追击,战争,-535,425,435,文献传承,C,距司马谈425年，必依赖文献
064,司马穰苴列传,064-006,穰苴尊为大司马,政治活动,-535,425,435,文献传承,C,距司马谈425年，必依赖文献
064,司马穰苴列传,064-007,穰苴被谗发疾而死,政治活动,-533,423,433,文献传承,C,距司马谈423年，必依赖文献
064,司马穰苴列传,064-008,齐威王追论司马兵法,文化活动,-340,230,240,文献传承,B,先秦人物文化活动，依据学派传承
065,孙子吴起列传,065-001,孙武练兵斩爱姬,政治整顿,-512,402,412,文献传承,C,距司马谈402年，必依赖文献
065,孙子吴起列传,065-002,孙武为将破楚威齐晋,战争,-506,396,406,文献传承,C,先秦史事，依据《战国策》等文献
065,孙子吴起列传,065-003,庞涓刑孙膑,政治活动,-354,244,254,文献传承,C,先秦史事，依据《战国策》等文献
065,孙子吴起列传,065-004,孙膑赛马献策,文化活动,-354,244,254,文献传承,B,先秦人物文化活动，依据学派传承
065,孙子吴起列传,065-005,桂陵之战围魏救赵,战争,-353,243,253,文献传承,C,先秦史事，依据《战国策》等文献
065,孙子吴起列传,065-006,马陵之战庞涓自刭,战争,-341,231,241,文献传承,C,先秦史事，依据《战国策》等文献
065,孙子吴起列传,065-007,吴起杀妻求将破齐,战争,-412,302,312,文献传承,C,先秦史事，依据《战国策》等文献
065,孙子吴起列传,065-008,吴起被疑去鲁,政治活动,-410,300,310,文献传承,C,先秦史事，依据《战国策》等文献
065,孙子吴起列传,065-009,吴起仕魏为将击秦,战争,-408,298,308,文献传承,C,先秦史事，依据《战国策》等文献
065,孙子吴起列传,065-010,吴起为西河守拒秦韩,政治活动,-408,298,308,文献传承,C,先秦史事，依据《战国策》等文献
065,孙子吴起列传,065-011,吴起论德不在险,文化活动,-394,284,294,文献传承,B,先秦人物文化活动，依据学派传承
065,孙子吴起列传,065-012,田文为相吴起不悦,政治活动,-392,282,292,文献传承,C,先秦史事，依据《战国策》等文献
065,孙子吴起列传,065-013,公叔设计逼走吴起,政治活动,-390,280,290,文献传承,C,先秦史事，依据《战国策》等文献
065,孙子吴起列传,065-014,吴起相楚变法,政治改革,-386,276,286,文献传承,D,距司马谈276年，远古史料可信度低
065,孙子吴起列传,065-015,悼王死吴起伏尸被杀,政治活动,-381,271,281,文献传承,C,先秦史事，依据《战国策》等文献
066,伍子胥列传,066-001,无忌夺太子建秦女,家族事件,-528,418,428,文献传承,C,距司马谈418年，必依赖文献
066,伍子胥列传,066-002,无忌谗害太子建,政治活动,-523,413,423,文献传承,C,距司马谈413年，必依赖文献
066,伍子胥列传,066-003,楚平王囚伍奢召二子,政治活动,-522,412,422,文献传承,C,距司马谈412年，必依赖文献
066,伍子胥列传,066-004,伍尚就死伍员出逃,家族事件,-522,412,422,文献传承,C,距司马谈412年，必依赖文献
066,伍子胥列传,066-005,伍员奔宋郑至吴,政治活动,-522,412,422,文献传承,C,距司马谈412年，必依赖文献
066,伍子胥列传,066-006,太子建谋郑被杀,政治活动,-519,409,419,文献传承,C,距司马谈409年，必依赖文献
066,伍子胥列传,066-007,专诸刺吴王僚,政治活动,-515,405,415,文献传承,C,距司马谈405年，必依赖文献
066,伍子胥列传,066-008,阖庐立召伍员谋国,政治活动,-514,404,414,文献传承,C,距司马谈404年，必依赖文献
066,伍子胥列传,066-009,吴伐楚拔舒禽二将,战争,-512,402,412,文献传承,C,距司马谈402年，必依赖文献
066,伍子胥列传,066-010,吴伐楚大破于豫章,战争,-508,398,408,文献传承,C,先秦史事，依据《战国策》等文献
066,伍子胥列传,066-011,五战入郢破楚,战争,-506,396,406,文献传承,C,先秦史事，依据《战国策》等文献
066,伍子胥列传,066-012,伍子胥掘墓鞭尸,政治活动,-506,396,406,文献传承,C,先秦史事，依据《战国策》等文献
066,伍子胥列传,066-013,申包胥哭秦庭求救,政治活动,-506,396,406,文献传承,C,先秦史事，依据《战国策》等文献
066,伍子胥列传,066-014,秦救楚败吴兵,战争,-505,395,405,文献传承,C,先秦史事，依据《战国策》等文献
066,伍子胥列传,066-015,阖庐伤于姑苏之战,战争,-496,386,396,文献传承,C,先秦史事，依据《战国策》等文献
066,伍子胥列传,066-016,夫差败越于夫湫,战争,-494,384,394,文献传承,C,先秦史事，依据《战国策》等文献
066,伍子胥列传,066-017,伍子胥谏勿许越平,政治活动,-494,384,394,文献传承,C,先秦史事，依据《战国策》等文献
066,伍子胥列传,066-018,伍子胥谏伐齐不伐越,政治活动,-484,374,384,文献传承,C,先秦史事，依据《战国策》等文献
066,伍子胥列传,066-019,伍子胥属子于齐,家族事件,-484,374,384,文献传承,D,距司马谈374年，远古史料可信度低
066,伍子胥列传,066-020,伍子胥赐死抉眼,政治活动,-484,374,384,文献传承,C,先秦史事，依据《战国策》等文献
066,伍子胥列传,066-021,吴终亡于越,战争,-473,363,373,文献传承,C,先秦史事，依据《战国策》等文献
066,伍子胥列传,066-022,白公胜归楚作乱,政治活动,-487,377,387,文献传承,C,先秦史事，依据《战国策》等文献
066,伍子胥列传,066-023,白公胜杀令尹劫王,政治活动,-479,369,379,文献传承,C,先秦史事，依据《战国策》等文献
067,仲尼弟子列传,067-001,颜回早夭孔子恸哭,家族事件,-481,371,381,文献传承,D,距司马谈371年，远古史料可信度低
067,仲尼弟子列传,067-002,子路被设礼收为弟子,文化活动,-530,420,430,文献传承,C,距司马谈420年，必依赖文献
067,仲尼弟子列传,067-003,子路为蒲大夫,政治活动,-495,385,395,文献传承,C,先秦史事，依据《战国策》等文献
067,仲尼弟子列传,067-004,子路殉难卫国,政治活动,-480,370,380,文献传承,C,先秦史事，依据《战国策》等文献
067,仲尼弟子列传,067-005,宰我参与田常之乱,政治活动,-481,371,381,文献传承,C,先秦史事，依据《战国策》等文献
067,仲尼弟子列传,067-006,子贡一出五国有变,政治活动,-484,374,384,文献传承,C,先秦史事，依据《战国策》等文献
067,仲尼弟子列传,067-007,子贡说田常转伐鲁为伐吴,政治活动,-484,374,384,文献传承,C,先秦史事，依据《战国策》等文献
067,仲尼弟子列传,067-008,子贡说吴王救鲁伐齐,政治活动,-484,374,384,文献传承,C,先秦史事，依据《战国策》等文献
067,仲尼弟子列传,067-009,子贡说越王助吴,政治活动,-484,374,384,文献传承,C,先秦史事，依据《战国策》等文献
067,仲尼弟子列传,067-010,子贡说晋修兵待吴,政治活动,-484,374,384,文献传承,C,先秦史事，依据《战国策》等文献
067,仲尼弟子列传,067-011,吴破齐临晋越灭吴,战争,-484,374,384,文献传承,C,先秦史事，依据《战国策》等文献
067,仲尼弟子列传,067-012,子游为武城宰,政治活动,-480,370,380,文献传承,C,先秦史事，依据《战国策》等文献
067,仲尼弟子列传,067-013,子夏居西河为魏文侯师,文化活动,-403,293,303,文献传承,B,先秦人物文化活动，依据学派传承
067,仲尼弟子列传,067-014,曾参传孝经,文化活动,-460,350,360,文献传承,B,先秦人物文化活动，依据学派传承
067,仲尼弟子列传,067-015,澹台灭明南游名施诸侯,文化活动,-490,380,390,文献传承,B,先秦人物文化活动，依据学派传承
067,仲尼弟子列传,067-016,子贡相鲁卫终于齐,政治活动,-470,360,370,文献传承,C,先秦史事，依据《战国策》等文献
067,仲尼弟子列传,067-017,原宪隐居草泽,文化活动,-475,365,375,文献传承,B,先秦人物文化活动，依据学派传承
067,仲尼弟子列传,067-018,有若立为师后被退,文化活动,-478,368,378,文献传承,B,先秦人物文化活动，依据学派传承
067,仲尼弟子列传,067-019,商瞿传易学,文化活动,-490,380,390,文献传承,B,先秦人物文化活动，依据学派传承
067,仲尼弟子列传,067-020,伯牛有恶疾孔子问之,家族事件,-500,390,400,文献传承,D,距司马谈390年，远古史料可信度低
068,商君列传,068-001,公叔座荐鞅于魏惠王,政治活动,-362,252,262,文献传承,A,商鞅变法，依据《商君书》
068,商君列传,068-002,卫鞅西入秦,政治活动,-361,251,261,文献传承,A,商鞅变法，依据《商君书》
068,商君列传,068-003,三说孝公以霸道得用,政治活动,-361,251,261,文献传承,A,商鞅变法，依据《商君书》
068,商君列传,068-004,变法论辩定令,政治改革,-356,246,256,文献传承,A,商鞅变法，依据《商君书》
068,商君列传,068-005,颁布什伍连坐新法,政治改革,-356,246,256,文献传承,A,商鞅变法，依据《商君书》
068,商君列传,068-006,徙木立信于国都南门,政治改革,-356,246,256,文献传承,A,商鞅变法，依据《商君书》
068,商君列传,068-007,刑太子傅师立法威,政治整顿,-356,246,256,文献传承,A,商鞅变法，依据《商君书》
068,商君列传,068-008,行法十年秦民大治,政治改革,-346,236,246,文献传承,A,商鞅变法，依据《商君书》
068,商君列传,068-009,围魏安邑降之,战争,-352,242,252,文献传承,A,商鞅变法，依据《商君书》
068,商君列传,068-010,徙都咸阳置县开阡陌,政治改革,-350,240,250,文献传承,A,商鞅变法，依据《商君书》
068,商君列传,068-011,天子致胙诸侯毕贺,政治活动,-343,233,243,文献传承,A,商鞅变法，依据《商君书》
068,商君列传,068-012,诈虏魏公子卬破魏军,战争,-340,230,240,文献传承,A,商鞅变法，依据《商君书》
068,商君列传,068-013,封商十五邑号商君,政治活动,-340,230,240,文献传承,A,商鞅变法，依据《商君书》
068,商君列传,068-014,赵良苦谏商君不从,政治活动,-338,228,238,文献传承,A,商鞅变法，依据《商君书》
068,商君列传,068-015,孝公卒商君被告谋反,政治活动,-338,228,238,文献传承,A,商鞅变法，依据《商君书》
068,商君列传,068-016,作法自毙逃亡被拒,政治活动,-338,228,238,文献传承,A,商鞅变法，依据《商君书》
068,商君列传,068-017,商君被杀车裂灭家,政治活动,-338,228,238,文献传承,A,商鞅变法，依据《商君书》
069,苏秦列传,069-001,苏秦师事鬼谷先生,文化活动,-330,220,230,文献传承,B,先秦人物文化活动，依据学派传承
